11,"Anti-White",1
12,"Anti-Black",1
13,"Anti-American Indian or Alaskan",1
14,"Anti-Asian/Pacific Islander",1
15,"Anti-Multi-Racial Group",1
21,"Anti-Jewish",2
22,"Anti-Catholic",2
23,"Anti-Protestant",2
24,"Anti-Islamic (Moslem)",2
25,"Anti-Other Religion",2
26,"Anti-Multi-Religious Group",2
27,"Anti-Atheism/Agnosticism",2
32,"Anti-Hispanic",3
33,"Anti-Other Ethnicity/Natl. Origin",3
41,"Anti-Male Homosexual (Gay)",4
42,"Anti-Female Homosexual (Lesbian)",4
43,"Anti-Homosexual (Gay and Lesbian)",4
44,"Anti-Heterosexual",4
45,"Anti-Bisexual",4
